Total/Rural/Urban,Area Name,Religious Community,Age-Group,Total Population,Population Males,Population Females,Total Main Workers,Main Workers Male,Main Workers Female,Total Marginal Workers,Marginal Workers Male,Marginal Workers Female,MW Available Total,MW Available Males,MW Available Females,Total Non Workers,Non Workers Male,Non Workers Female,NW Available Total,NW Available Males,NW Available Females
Total,State - NAGALAND,Jain,30-34,218,109,109,122,101,21,6,2,4,0,0,0,90,6,84,12,3,9
Total,State - NAGALAND,Jain,35-39,213,106,107,117,96,21,8,3,5,2,2,0,88,7,81,3,0,3
Total,State - NAGALAND,Jain,40-49,389,205,184,224,186,38,16,5,11,2,1,1,149,14,135,3,0,3
Total,State - NAGALAND,Jain,50-59,235,134,101,147,128,19,2,1,1,1,1,0,86,5,81,5,0,5
Total,State - NAGALAND,Jain,60-69,150,78,72,73,68,5,6,2,4,2,1,1,71,8,63,0,0,0
Total,State - NAGALAND,Jain,70-79,61,30,31,22,21,1,3,2,1,1,0,1,36,7,29,0,0,0
Total,State - NAGALAND,Jain,80+,26,13,13,7,7,0,2,0,2,0,0,0,17,6,11,0,0,0
Total,State - NAGALAND,Jain,Age not stated,2,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Total,State - NAGALAND,Jain,15-59,1715,886,829,775,633,142,74,34,40,16,11,5,866,219,647,83,27,56
Total,State - NAGALAND,Jain,60+,237,121,116,102,96,6,11,4,7,3,1,2,124,21,103,0,0,0
Total,State - NAGALAND,Other religious communities,Total,3214,1620,1594,1468,761,707,431,199,232,103,56,47,1315,660,655,81,50,31
Total,State - NAGALAND,Other religious communities,5-9,389,194,195,4,2,2,15,9,6,2,2,0,370,183,187,5,3,2
Total,State - NAGALAND,Other religious communities,10-14,365,195,170,14,6,8,72,34,38,6,3,3,279,155,124,11,8,3
Total,State - NAGALAND,Other religious communities,15-19,391,198,193,98,52,46,111,51,60,29,10,19,182,95,87,32,19,13
Total,State - NAGALAND,Other religious communities,20-24,293,157,136,158,82,76,68,35,33,23,17,6,67,40,27,16,10,6
Total,State - NAGALAND,Other religious communities,25-29,204,106,98,143,74,69,32,15,17,16,9,7,29,17,12,10,9,1
Total,State - NAGALAND,Other religious communities,30-34,179,89,90,144,76,68,28,12,16,11,6,5,7,1,6,3,1,2
Total,State - NAGALAND,Other religious communities,35-39,183,89,94,165,87,78,9,1,8,3,1,2,9,1,8,1,0,1
Total,State - NAGALAND,Other religious communities,40-49,328,157,171,286,144,142,28,10,18,8,6,2,14,3,11,3,0,3
Total,State - NAGALAND,Other religious communities,50-59,229,105,124,201,96,105,15,6,9,1,0,1,13,3,10,0,0,0
Total,State - NAGALAND,Other religious communities,60-69,199,112,87,159,91,68,25,15,10,0,0,0,15,6,9,0,0,0
Total,State - NAGALAND,Other religious communities,70-79,112,56,56,64,34,30,23,8,15,4,2,2,25,14,11,0,0,0
Total,State - NAGALAND,Other religious communities,80+,47,25,22,28,15,13,5,3,2,0,0,0,14,7,7,0,0,0
Total,State - NAGALAND,Other religious communities,Age not stated,5,3,2,4,2,2,0,0,0,0,0,0,1,1,0,0,0,0
Total,State - NAGALAND,Other religious communities,15-59,1807,901,906,1195,611,584,291,130,161,91,49,42,321,160,161,65,39,26
Total,State - NAGALAND,Other religious communities,60+,358,193,165,251,140,111,53,26,27,4,2,2,54,27,27,0,0,0
Rural,State - NAGALAND,All religious communities,Total,1407536,725472,682064,567674,316384,251290,192686,87528,105158,56120,28390,27730,647176,321560,325616,53719,26631,27088
Rural,State - NAGALAND,All religious communities,5-9,173624,90120,83504,1747,911,836,11123,5678,5445,1005,528,477,160754,83531,77223,3109,1630,1479
Rural,State - NAGALAND,All religious communities,10-14,181149,94658,86491,7914,4163,3751,37376,19186,18190,4531,2391,2140,135859,71309,64550,5214,2730,2484
Rural,State - NAGALAND,All religious communities,15-19,161926,83359,78567,31921,17002,14919,42655,21755,20900,12668,6833,5835,87350,44602,42748,14448,7508,6940
Rural,State - NAGALAND,All religious communities,20-24,139581,70944,68637,62958,33990,28968,31179,15213,15966,14979,7917,7062,45444,21741,23703,15878,8125,7753
Rural,State - NAGALAND,All religious communities,25-29,117131,58588,58543,76089,41525,34564,20471,8772,11699,10117,5077,5040,20571,8291,12280,8510,4140,4370
Rural,State - NAGALAND,All religious communities,30-34,100492,50782,49710,76550,43009,33541,13359,4767,8592,5365,2559,2806,10583,3006,7577,3370,1398,1972
Rural,State - NAGALAND,All religious communities,35-39,87170,43067,44103,70769,38822,31947,9594,2886,6708,3024,1205,1819,6807,1359,5448,1451,472,979
Rural,State - NAGALAND,All religious communities,40-49,137374,71855,65519,117382,66844,50538,11890,3429,8461,2592,1091,1501,8102,1582,6520,924,296,628
Rural,State - NAGALAND,All religious communities,50-59,79269,42274,36995,66886,38399,28487,6624,2090,4534,992,390,602,5759,1785,3974,310,95,215
Rural,State - NAGALAND,All religious communities,60-69,47140,24828,22312,34932,19475,15457,4808,1988,2820,536,248,288,7400,3365,4035,310,140,170
Rural,State - NAGALAND,All religious communities,70-79,22982,12156,10826,14848,8650,6198,2426,1130,1296,192,91,101,5708,2376,3332,103,50,53
Rural,State - NAGALAND,All religious communities,80+,11163,6128,5035,5233,3313,1920,1030,556,474,88,47,41,4900,2259,2641,59,28,31
Rural,State - NAGALAND,All religious communities,Age not stated,1274,732,542,445,281,164,151,78,73,31,13,18,678,373,305,33,19,14
Rural,State - NAGALAND,All religious communities,15-59,822943,420869,402074,502555,279591,222964,135772,58912,76860,49737,25072,24665,184616,82366,102250,44891,22034,22857
Rural,State - NAGALAND,All religious communities,60+,81285,43112,38173,55013,31438,23575,8264,3674,4590,816,386,430,18008,8000,10008,472,218,254
Rural,State - NAGALAND,Hindu,Total,62934,38453,24481,29901,23823,6078,5253,2348,2905,1832,1024,808,27780,12282,15498,2108,898,1210
Rural,State - NAGALAND,Hindu,5-9,6589,3478,3111,40,23,17,209,112,97,43,23,20,6340,3343,2997,168,90,78
Rural,State - NAGALAND,Hindu,10-14,6636,3577,3059,264,163,101,712,380,332,161,89,72,5660,3034,2626,275,143,132
Rural,State - NAGALAND,Hindu,15-19,5743,3283,2460,1589,1193,396,800,443,357,335,199,136,3354,1647,1707,532,282,250
Rural,State - NAGALAND,Hindu,20-24,6876,4299,2577,4071,3257,814,839,386,453,400,218,182,1966,656,1310,534,225,309
Rural,State - NAGALAND,Hindu,25-29,7146,4697,2449,5184,4210,974,725,299,426,298,155,143,1237,188,1049,269,78,191
Rural,State - NAGALAND,Hindu,30-34,5649,3582,2067,4244,3338,906,496,172,324,176,97,79,909,72,837,140,31,109
Rural,State - NAGALAND,Hindu,35-39,5194,3343,1851,3990,3172,818,429,122,307,142,74,68,775,49,726,95,19,76
Rural,State - NAGALAND,Hindu,40-49,7856,5565,2291,6466,5260,1206,595,228,367,179,109,70,795,77,718,60,19,41
Rural,State - NAGALAND,Hindu,50-59,3448,2367,1081,2765,2204,561,261,101,160,57,32,25,422,62,360,19,5,14
Rural,State - NAGALAND,Hindu,60-69,1359,873,486,913,690,223,128,69,59,26,19,7,318,114,204,7,1,6
Rural,State - NAGALAND,Hindu,70-79,517,328,189,262,219,43,40,26,14,7,6,1,215,83,132,5,1,4
Rural,State - NAGALAND,Hindu,80+,242,148,94,98,81,17,13,8,5,3,2,1,131,59,72,2,2,0
Rural,State - NAGALAND,Hindu,Age not stated,42,28,14,15,13,2,6,2,4,5,1,4,21,13,8,2,2,0
Rural,State - NAGALAND,Hindu,15-59,41912,27136,14776,28309,22634,5675,4145,1751,2394,1587,884,703,9458,2751,6707,1649,659,990
Rural,State - NAGALAND,Hindu,60+,2118,1349,769,1273,990,283,181,103,78,36,27,9,664,256,408,14,4,10
Rural,State - NAGALAND,Muslim,Total,23007,12723,10284,8270,5947,2323,3044,1316,1728,767,431,336,11693,5460,6233,571,239,332
Rural,State - NAGALAND,Muslim,5-9,3728,1885,1843,37,20,17,142,77,65,29,20,9,3549,1788,1761,105,50,55
Rural,State - NAGALAND,Muslim,10-14,2857,1567,1290,181,118,63,491,267,224,105,61,44,2185,1182,1003,132,66,66
Rural,State - NAGALAND,Muslim,15-19,2240,1278,962,793,561,232,573,315,258,195,115,80,874,402,472,125,57,68
Rural,State - NAGALAND,Muslim,20-24,2082,1129,953,1200,837,363,429,181,248,152,85,67,453,111,342,84,29,55
Rural,State - NAGALAND,Muslim,25-29,1988,1106,882,1309,930,379,373,133,240,105,54,51,306,43,263,66,21,45
Rural,State - NAGALAND,Muslim,30-34,1560,853,707,1071,747,324,290,85,205,63,32,31,199,21,178,32,9,23
Rural,State - NAGALAND,Muslim,35-39,1477,854,623,1088,768,320,244,81,163,45,24,21,145,5,140,16,2,14
Rural,State - NAGALAND,Muslim,40-49,1921,1160,761,1448,1066,382,290,76,214,39,24,15,183,18,165,5,3,2
Rural,State - NAGALAND,Muslim,50-59,925,623,302,706,560,146,125,47,78,19,7,12,94,16,78,3,0,3
Rural,State - NAGALAND,Muslim,60-69,412,285,127,271,213,58,62,38,24,12,7,5,79,34,45,2,1,1
Rural,State - NAGALAND,Muslim,70-79,196,122,74,121,94,27,19,11,8,2,2,0,56,17,39,0,0,0
Rural,State - NAGALAND,Muslim,80+,75,45,30,40,29,11,4,3,1,1,0,1,31,13,18,0,0,0
Rural,State - NAGALAND,Muslim,Age not stated,19,12,7,5,4,1,2,2,0,0,0,0,12,6,6,1,1,0
Rural,State - NAGALAND,Muslim,15-59,12193,7003,5190,7615,5469,2146,2324,918,1406,618,341,277,2254,616,1638,331,121,210
Rural,State - NAGALAND,Muslim,60+,683,452,231,432,336,96,85,52,33,15,9,6,166,64,102,2,1,1
Rural,State - NAGALAND,Christian,Total,1310838,668171,642667,525153,283749,241404,183058,83198,99860,53155,26745,26410,602627,301224,301403,50703,25301,25402
Rural,State - NAGALAND,Christian,5-9,161917,84027,77890,1657,859,798,10706,5456,5250,921,476,445,149554,77712,71842,2814,1477,1337
Rural,State - NAGALAND,Christian,10-14,170198,88729,81469,7406,3844,3562,35867,18375,17492,4231,2225,2006,126925,66510,60415,4770,2504,2266
Rural,State - NAGALAND,Christian,15-19,152662,78110,74552,29263,15083,14180,40955,20826,20129,12055,6478,5577,82444,42201,40243,13667,7096,6571
Rural,State - NAGALAND,Christian,20-24,129501,64808,64693,57063,29450,27613,29712,14542,15170,14349,7569,6780,42726,20816,21910,15175,7817,7358
Rural,State - NAGALAND,Christian,25-29,107123,52234,54889,68991,35957,33034,19246,8280,10966,9648,4834,4814,18886,7997,10889,8138,4017,4121
Rural,State - NAGALAND,Christian,30-34,92537,45838,46699,70614,38461,32153,12503,4481,8022,5090,2412,2678,9420,2896,6524,3183,1351,1832
Rural,State - NAGALAND,Christian,35-39,79958,38543,41415,65221,34574,30647,8878,2666,6212,2823,1102,1721,5859,1303,4556,1334,450,884
Rural,State - NAGALAND,Christian,40-49,126697,64607,62090,108675,60033,48642,10935,3096,7839,2349,944,1405,7087,1478,5609,854,272,582
Rural,State - NAGALAND,Christian,50-59,74393,39006,35387,62972,35378,27594,6208,1928,4280,910,348,562,5213,1700,3513,286,89,197
Rural,State - NAGALAND,Christian,60-69,45003,23466,21537,33472,18410,15062,4576,1860,2716,493,220,273,6955,3196,3759,298,137,161
Rural,State - NAGALAND,Christian,70-79,22082,11606,10476,14361,8273,6088,2333,1079,1254,177,81,96,5388,2254,3134,97,49,48
Rural,State - NAGALAND,Christian,80+,10755,5884,4871,5051,3174,1877,1003,541,462,84,45,39,4701,2169,2532,57,26,31
Rural,State - NAGALAND,Christian,Age not stated,1161,659,502,407,253,154,136,68,68,25,11,14,618,338,280,30,16,14
Rural,State - NAGALAND,Christian,15-59,762871,383146,379725,462799,248936,213863,128437,55819,72618,47224,23687,23537,171635,78391,93244,42637,21092,21545
Rural,State - NAGALAND,Christian,60+,77840,40956,36884,52884,29857,23027,7912,3480,4432,754,346,408,17044,7619,9425,452,212,240
Rural,State - NAGALAND,Sikh,Total,1116,999,117,968,933,35,30,15,15,12,5,7,118,51,67,13,6,7
Rural,State - NAGALAND,Sikh,5-9,36,20,16,0,0,0,2,1,1,0,0,0,34,19,15,0,0,0
Rural,State - NAGALAND,Sikh,10-14,23,13,10,6,5,1,3,1,2,1,0,1,14,7,7,1,0,1
Rural,State - NAGALAND,Sikh,15-19,25,19,6,13,11,2,3,3,0,0,0,0,9,5,4,3,2,1
Rural,State - NAGALAND,Sikh,20-24,210,198,12,196,191,5,8,4,4,4,3,1,6,3,3,2,2,0
Rural,State - NAGALAND,Sikh,25-29,250,236,14,237,233,4,5,2,3,3,1,2,8,1,7,1,1,0
Rural,State - NAGALAND,Sikh,30-34,273,259,14,262,257,5,4,1,3,2,0,2,7,1,6,3,0,3
Rural,State - NAGALAND,Sikh,35-39,113,106,7,107,104,3,3,2,1,2,1,1,3,0,3,2,0,2
Rural,State - NAGALAND,Sikh,40-49,129,119,10,125,117,8,1,1,0,0,0,0,3,1,2,1,1,0
Rural,State - NAGALAND,Sikh,50-59,14,8,6,13,8,5,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - NAGALAND,Sikh,60-69,11,5,6,5,4,1,1,0,1,0,0,0,5,1,4,0,0,0
Rural,State - NAGALAND,Sikh,70-79,3,2,1,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0
Rural,State - NAGALAND,Sikh,80+,4,3,1,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0
Rural,State - NAGALAND,Sikh,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - NAGALAND,Sikh,15-59,1014,945,69,953,921,32,24,13,11,11,5,6,37,11,26,12,6,6
Rural,State - NAGALAND,Sikh,60+,18,10,8,9,7,2,1,0,1,0,0,0,8,3,5,0,0,0
Rural,State - NAGALAND,Buddhist,Total,4478,2385,2093,1274,759,515,624,327,297,166,80,86,2580,1299,1281,161,87,74
Rural,State - NAGALAND,Buddhist,5-9,721,383,338,5,4,1,35,19,16,8,6,2,681,360,321,13,8,5
Rural,State - NAGALAND,Buddhist,10-14,818,429,389,31,18,13,197,107,90,24,10,14,590,304,286,18,6,12
Rural,State - NAGALAND,Buddhist,15-19,593,317,276,113,70,43,165,93,72,35,18,17,315,154,161,60,34,26
Rural,State - NAGALAND,Buddhist,20-24,405,231,174,187,123,64,79,41,38,34,18,16,139,67,72,35,20,15
Rural,State - NAGALAND,Buddhist,25-29,293,143,150,162,85,77,57,26,31,32,14,18,74,32,42,20,11,9
Rural,State - NAGALAND,Buddhist,30-34,188,96,92,134,76,58,20,9,11,11,5,6,34,11,23,8,5,3
Rural,State - NAGALAND,Buddhist,35-39,161,83,78,132,74,58,18,8,10,5,1,4,11,1,10,2,1,1
Rural,State - NAGALAND,Buddhist,40-49,274,152,122,243,143,100,20,8,12,10,4,6,11,1,10,0,0,0
Rural,State - NAGALAND,Buddhist,50-59,186,112,74,158,103,55,13,6,7,5,3,2,15,3,12,2,1,1
Rural,State - NAGALAND,Buddhist,60-69,108,57,51,78,44,34,8,4,4,1,1,0,22,9,13,2,1,1
Rural,State - NAGALAND,Buddhist,70-79,46,22,24,22,13,9,9,5,4,1,0,1,15,4,11,1,0,1
Rural,State - NAGALAND,Buddhist,80+,23,10,13,9,6,3,1,0,1,0,0,0,13,4,9,0,0,0
Rural,State - NAGALAND,Buddhist,Age not stated,7,4,3,0,0,0,2,1,1,0,0,0,5,3,2,0,0,0
Rural,State - NAGALAND,Buddhist,15-59,2100,1134,966,1129,674,455,372,191,181,132,63,69,599,269,330,127,72,55
Rural,State - NAGALAND,Buddhist,60+,177,89,88,109,63,46,18,9,9,2,1,1,50,17,33,3,1,2
Rural,State - NAGALAND,Jain,Total,421,230,191,181,105,76,65,34,31,11,6,5,175,91,84,19,9,10
Rural,State - NAGALAND,Jain,5-9,44,22,22,1,1,0,5,2,3,1,0,1,38,19,19,4,2,2
Rural,State - NAGALAND,Jain,10-14,61,40,21,4,4,0,20,12,8,2,1,1,37,24,13,3,1,2
Rural,State - NAGALAND,Jain,15-19,54,31,23,12,7,5,14,8,6,2,1,1,28,16,12,7,3,4
Rural,State - NAGALAND,Jain,20-24,45,22,23,25,11,14,9,5,4,1,1,0,11,6,5,4,3,1
Rural,State - NAGALAND,Jain,25-29,24,14,10,15,9,6,5,3,2,2,2,0,4,2,2,0,0,0
Rural,State - NAGALAND,Jain,30-34,29,16,13,27,16,11,1,0,1,0,0,0,1,0,1,1,0,1
Rural,State - NAGALAND,Jain,35-39,18,11,7,16,10,6,1,1,0,1,1,0,1,0,1,0,0,0
Rural,State - NAGALAND,Jain,40-49,53,22,31,44,20,24,4,2,2,0,0,0,5,0,5,0,0,0
Rural,State - NAGALAND,Jain,50-59,23,16,7,23,16,7,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - NAGALAND,Jain,60-69,12,8,4,9,8,1,2,0,2,1,0,1,1,0,1,0,0,0
Rural,State - NAGALAND,Jain,70-79,5,3,2,3,2,1,2,1,1,1,0,1,0,0,0,0,0,0
Rural,State - NAGALAND,Jain,80+,5,1,4,1,1,0,2,0,2,0,0,0,2,0,2,0,0,0
Rural,State - NAGALAND,Jain,Age not stated,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - NAGALAND,Jain,15-59,246,132,114,162,89,73,34,19,15,6,5,1,50,24,26,12,6,6
Rural,State - NAGALAND,Jain,60+,22,12,10,13,11,2,6,1,5,2,0,2,3,0,3,0,0,0
Rural,State - NAGALAND,Other religious communities,Total,2997,1514,1483,1395,724,671,389,180,209,96,52,44,1213,610,603,74,47,27
Rural,State - NAGALAND,Other religious communities,5-9,368,183,185,4,2,2,11,6,5,1,1,0,353,175,178,5,3,2
Rural,State - NAGALAND,Other religious communities,10-14,339,180,159,13,6,7,61,29,32,4,2,2,265,145,120,10,7,3
Rural,State - NAGALAND,Other religious communities,15-19,366,185,181,95,51,44,99,44,55,28,10,18,172,90,82,32,19,13
Rural,State - NAGALAND,Other religious communities,20-24,269,142,127,151,79,72,64,34,30,22,16,6,54,29,25,14,9,5
Rural,State - NAGALAND,Other religious communities,25-29,190,99,91,136,71,65,31,14,17,15,8,7,23,14,9,8,8,0
Rural,State - NAGALAND,Other religious communities,30-34,166,83,83,139,71,68,23,11,12,11,6,5,4,1,3,1,1,0
Rural,State - NAGALAND,Other religious communities,35-39,168,83,85,156,82,74,8,1,7,2,1,1,4,0,4,1,0,1
Rural,State - NAGALAND,Other religious communities,40-49,305,145,160,270,133,137,25,9,16,8,6,2,10,3,7,3,0,3
Rural,State - NAGALAND,Other religious communities,50-59,213,100,113,189,91,98,15,6,9,1,0,1,9,3,6,0,0,0
Rural,State - NAGALAND,Other religious communities,60-69,191,110,81,155,89,66,24,15,9,0,0,0,12,6,6,0,0,0
Rural,State - NAGALAND,Other religious communities,70-79,104,53,51,58,32,26,23,8,15,4,2,2,23,13,10,0,0,0
Rural,State - NAGALAND,Other religious communities,80+,40,22,18,25,15,10,5,3,2,0,0,0,10,4,6,0,0,0
Rural,State - NAGALAND,Other religious communities,Age not stated,5,3,2,4,2,2,0,0,0,0,0,0,1,1,0,0,0,0
Rural,State - NAGALAND,Other religious communities,15-59,1677,837,840,1136,578,558,265,119,146,87,47,40,276,140,136,59,37,22
Rural,State - NAGALAND,Other religious communities,60+,335,185,150,238,136,102,52,26,26,4,2,2,45,23,22,0,0,0
Urban,State - NAGALAND,All religious communities,Total,570966,299177,271789,173505,125820,47685,40257,17625,22632,13961,7113,6848,357204,155732,201472,47523,21805,25718
Urban,State - NAGALAND,All religious communities,5-9,59475,30527,28948,291,164,127,1104,565,539,295,163,132,58080,29798,28282,1966,1040,926
Urban,State - NAGALAND,All religious communities,10-14,67522,34579,32943,1110,715,395,3125,1624,1501,647,339,308,63287,32240,31047,3576,1897,1679
Urban,State - NAGALAND,All religious communities,15-19,67696,34635,33061,4979,3658,1321,5183,2730,2453,1929,1056,873,57534,28247,29287,9856,4957,4899
Urban,State - NAGALAND,All religious communities,20-24,64782,32825,31957,16192,11577,4615,6364,3032,3332,3196,1669,1527,42226,18216,24010,14028,6708,7320
Urban,State - NAGALAND,All religious communities,25-29,59770,31010,28760,28113,20155,7958,6169,2671,3498,2862,1408,1454,25488,8184,17304,9777,4374,5403
Urban,State - NAGALAND,All religious communities,30-34,49432,25723,23709,29197,20744,8453,4920,1970,2950,1959,975,984,15315,3009,12306,4167,1540,2627
Urban,State - NAGALAND,All religious communities,35-39,41028,21628,19400,26096,18742,7354,4030,1447,2583,1320,609,711,10902,1439,9463,1914,582,1332
Urban,State - NAGALAND,All religious communities,40-49,59634,33555,26079,40835,30049,10786,5263,1864,3399,1130,556,574,13536,1642,11894,1325,322,1003
Urban,State - NAGALAND,All religious communities,50-59,29988,17601,12387,19244,14557,4687,2365,911,1454,416,227,189,8379,2133,6246,470,169,301
Urban,State - NAGALAND,All religious communities,60-69,13622,7656,5966,5396,4000,1396,1226,559,667,154,87,67,7000,3097,3903,300,152,148
Urban,State - NAGALAND,All religious communities,70-79,5176,2739,2437,1444,1038,406,349,168,181,38,18,20,3383,1533,1850,87,41,46
Urban,State - NAGALAND,All religious communities,80+,2643,1272,1371,563,386,177,136,70,66,13,6,7,1944,816,1128,51,22,29
Urban,State - NAGALAND,All religious communities,Age not stated,197,117,80,45,35,10,23,14,9,2,0,2,129,68,61,6,1,5
Urban,State - NAGALAND,All religious communities,15-59,372330,196977,175353,164656,119482,45174,34294,14625,19669,12812,6500,6312,173380,62870,110510,41537,18652,22885
Urban,State - NAGALAND,All religious communities,60+,21441,11667,9774,7403,5424,1979,1711,797,914,205,111,94,12327,5446,6881,438,215,223
Urban,State - NAGALAND,Hindu,Total,110120,66398,43722,45799,41223,4576,4935,2994,1941,1838,1160,678,59386,22181,37205,5798,2162,3636
Urban,State - NAGALAND,Hindu,5-9,9961,5225,4736,47,28,19,157,83,74,51,27,24,9757,5114,4643,267,147,120
Urban,State - NAGALAND,Hindu,10-14,9667,5172,4495,279,224,55,355,219,136,101,61,40,9033,4729,4304,431,222,209
Urban,State - NAGALAND,Hindu,15-19,9576,5487,4089,1671,1475,196,647,436,211,300,189,111,7258,3576,3682,1248,637,611
Urban,State - NAGALAND,Hindu,20-24,11510,6729,4781,4996,4453,543,785,469,316,370,220,150,5729,1807,3922,1557,634,923
Urban,State - NAGALAND,Hindu,25-29,13101,7992,5109,7744,6929,815,676,389,287,267,162,105,4681,674,4007,1062,304,758
Urban,State - NAGALAND,Hindu,30-34,11299,7114,4185,7176,6490,686,596,346,250,242,163,79,3527,278,3249,518,97,421
Urban,State - NAGALAND,Hindu,35-39,10252,6443,3809,6732,6002,730,506,283,223,185,110,75,3014,158,2856,342,52,290
Urban,State - NAGALAND,Hindu,40-49,15366,10683,4683,10991,10010,981,737,451,286,204,140,64,3638,222,3416,243,25,218
Urban,State - NAGALAND,Hindu,50-59,6712,4743,1969,4637,4242,395,312,202,110,88,66,22,1763,299,1464,79,26,53
Urban,State - NAGALAND,Hindu,60-69,2510,1560,950,1162,1051,111,118,83,35,24,20,4,1230,426,804,37,15,22
Urban,State - NAGALAND,Hindu,70-79,846,478,368,248,222,26,31,22,9,5,2,3,567,234,333,11,3,8
Urban,State - NAGALAND,Hindu,80+,365,187,178,108,89,19,11,8,3,0,0,0,246,90,156,3,0,3
Urban,State - NAGALAND,Hindu,Age not stated,29,18,11,8,8,0,4,3,1,1,0,1,17,7,10,0,0,0
Urban,State - NAGALAND,Hindu,15-59,77816,49191,28625,43947,39601,4346,4259,2576,1683,1656,1050,606,29610,7014,22596,5049,1775,3274
Urban,State - NAGALAND,Hindu,60+,3721,2225,1496,1518,1362,156,160,113,47,29,22,7,2043,750,1293,51,18,33
Urban,State - NAGALAND,Muslim,Total,25956,15804,10152,9362,8547,815,2292,1442,850,976,628,348,14302,5815,8487,1016,395,621
Urban,State - NAGALAND,Muslim,5-9,3167,1674,1493,19,12,7,88,36,52,35,16,19,3060,1626,1434,88,54,34
Urban,State - NAGALAND,Muslim,10-14,2549,1395,1154,151,131,20,202,111,91,75,43,32,2196,1153,1043,117,63,54
Urban,State - NAGALAND,Muslim,15-19,2569,1659,910,785,733,52,357,259,98,158,114,44,1427,667,760,224,109,115
Urban,State - NAGALAND,Muslim,20-24,3085,1874,1211,1439,1339,100,376,239,137,189,115,74,1270,296,974,239,91,148
Urban,State - NAGALAND,Muslim,25-29,3150,1974,1176,1765,1632,133,345,218,127,151,92,59,1040,124,916,145,38,107
Urban,State - NAGALAND,Muslim,30-34,2395,1550,845,1445,1303,142,286,177,109,106,69,37,664,70,594,86,20,66
Urban,State - NAGALAND,Muslim,35-39,1991,1300,691,1252,1142,110,225,125,100,99,66,33,514,33,481,52,7,45
Urban,State - NAGALAND,Muslim,40-49,2360,1696,664,1633,1473,160,275,181,94,106,68,38,452,42,410,37,6,31
Urban,State - NAGALAND,Muslim,50-59,878,628,250,614,550,64,76,57,19,40,32,8,188,21,167,17,4,13
Urban,State - NAGALAND,Muslim,60-69,364,250,114,191,174,17,46,31,15,14,12,2,127,45,82,7,3,4
Urban,State - NAGALAND,Muslim,70-79,94,61,33,41,36,5,9,5,4,2,0,2,44,20,24,2,0,2
Urban,State - NAGALAND,Muslim,80+,67,35,32,25,20,5,6,2,4,1,1,0,36,13,23,2,0,2
Urban,State - NAGALAND,Muslim,Age not stated,8,5,3,2,2,0,1,1,0,0,0,0,5,2,3,0,0,0
Urban,State - NAGALAND,Muslim,15-59,16428,10681,5747,8933,8172,761,1940,1256,684,849,556,293,5555,1253,4302,800,275,525
Urban,State - NAGALAND,Muslim,60+,525,346,179,257,230,27,61,38,23,17,13,4,207,78,129,11,3,8
Urban,State - NAGALAND,Christian,Total,428813,213756,215057,116267,74365,41902,32706,13046,19660,11045,5266,5779,279840,126345,153495,40406,19132,21274
Urban,State - NAGALAND,Christian,5-9,45774,23328,22446,223,123,100,844,438,406,206,118,88,44707,22767,21940,1600,831,769
Urban,State - NAGALAND,Christian,10-14,54707,27722,26985,673,356,317,2531,1277,1254,465,232,233,51503,26089,25414,3011,1601,1410
Urban,State - NAGALAND,Christian,15-19,54990,27217,27773,2493,1432,1061,4131,2002,2129,1450,737,713,48366,23783,24583,8327,4190,4137
Urban,State - NAGALAND,Christian,20-24,49615,23922,25693,9583,5659,3924,5158,2305,2853,2612,1321,1291,34874,15958,18916,12142,5943,6199
Urban,State - NAGALAND,Christian,25-29,42817,20634,22183,18223,11272,6951,5109,2045,3064,2425,1142,1283,19485,7317,12168,8502,4006,4496
Urban,State - NAGALAND,Christian,30-34,35199,16764,18435,20249,12685,7564,3998,1435,2563,1602,740,862,10952,2644,8308,3536,1418,2118
Urban,State - NAGALAND,Christian,35-39,28326,13643,14683,17837,11377,6460,3275,1032,2243,1030,431,599,7214,1234,5980,1510,522,988
Urban,State - NAGALAND,Christian,40-49,41172,20761,20411,27751,18186,9565,4205,1220,2985,813,344,469,9216,1355,7861,1031,287,744
Urban,State - NAGALAND,Christian,50-59,21984,12003,9981,13732,9552,4180,1964,646,1318,283,126,157,6288,1805,4483,367,139,228
Urban,State - NAGALAND,Christian,60-69,10517,5725,4792,3935,2681,1254,1048,437,611,115,54,61,5534,2607,2927,255,134,121
Urban,State - NAGALAND,Christian,70-79,4145,2155,1990,1121,754,367,307,139,168,31,16,15,2717,1262,1455,73,38,35
Urban,State - NAGALAND,Christian,80+,2171,1027,1144,417,267,150,118,60,58,12,5,7,1636,700,936,46,22,24
Urban,State - NAGALAND,Christian,Age not stated,149,88,61,30,21,9,18,10,8,1,0,1,101,57,44,6,1,5
Urban,State - NAGALAND,Christian,15-59,274103,134944,139159,109868,70163,39705,27840,10685,17155,10215,4841,5374,136395,54096,82299,35415,16505,18910
